,ax,bx,cx,dx,v,p,t
3795,2.352500790999764,1.021729989891669,0.17726154481966527,1.05,0.790486585926086,1.0985998013269287,18.98000000000051
3796,2.3524964809311273,1.0218771516901082,0.17711869308986272,1.05,0.7904832009059304,1.098604505769055,18.985000000000507
3797,2.3524921722883265,1.0220242661709669,0.17697588725180494,1.05,0.7904798170055907,1.0986092086951516,18.990000000000506
3798,2.352487865071322,1.0221713333342644,0.176833127305512,1.05,0.7904764342250358,1.0986139101052224,18.995000000000505
3799,2.352483559280074,1.0223183531800202,0.17669041325100407,1.05,0.7904730525642344,1.0986186099992714,19.000000000000504
3800,2.3524792549145435,1.0224653257082539,0.17654774508830123,1.05,0.7904696720231557,1.098623308377302,19.005000000000503
3801,2.35247495197469,1.0226122509189848,0.17640512281742357,1.05,0.7904662926017685,1.0986280052393183,19.010000000000502
3802,2.3524706504604747,1.0227591288122324,0.17626254643839115,1.05,0.7904629143000417,1.0986327005853238,19.0150000000005
3803,2.3524663503718575,1.0229059593880163,0.17612001595122403,1.05,0.7904595371179443,1.0986373944153225,19.0200000000005
3804,2.3524620517088,1.023052742646356,0.17597753135594232,1.05,0.790456161055445,1.0986420867293183,19.0250000000005
3805,2.3524577544712617,1.023199478587271,0.17583509265256603,1.05,0.7904527861125132,1.0986467775273145,19.0300000000005
3806,2.3524534586592027,1.0233461672107804,0.1756926998411152,1.05,0.7904494122891176,1.0986514668093152,19.035000000000498
3807,2.352449164272584,1.0234928085169042,0.1755503529216099,1.05,0.7904460395852271,1.0986561545753244,19.040000000000497
3808,2.3524448713113664,1.0236394025056614,0.1754080518940701,1.05,0.790442668000811,1.098660840825345,19.045000000000496
3809,2.3524405797755104,1.0237859491770718,0.17526579675851586,1.05,0.790439297535838,1.098665525559382,19.050000000000495
3810,2.3524362896649764,1.0239324485311545,0.17512358751496715,1.05,0.7904359281902773,1.0986702087774383,19.055000000000494
3811,2.352432000979725,1.0240789005679292,0.17498142416344398,1.05,0.7904325599640979,1.0986748904795178,19.060000000000493
3812,2.3524277137197167,1.024225305287415,0.17483930670396633,1.05,0.790429192857269,1.0986795706656243,19.06500000000049
3813,2.3524234278849123,1.0243716626896318,0.1746972351365542,1.05,0.7904258268697594,1.0986842493357616,19.07000000000049
3814,2.352419143475272,1.0245179727745988,0.17455520946122752,1.05,0.7904224620015381,1.0986889264899335,19.07500000000049
3815,2.3524148604907564,1.0246642355423354,0.17441322967800624,1.05,0.7904190982525743,1.098693602128144,19.08000000000049
3816,2.3524105789313268,1.024810450992861,0.17427129578691034,1.05,0.7904157356228372,1.0986982762503963,19.085000000000488
3817,2.352406298796943,1.0249566191261952,0.17412940778795974,1.05,0.7904123741122957,1.0987029488566946,19.090000000000487
3818,2.3524020200875664,1.0251027399423571,0.17398756568117435,1.05,0.7904090137209191,1.0987076199470425,19.095000000000486
3819,2.352397742803157,1.0252488134413664,0.17384576946657412,1.05,0.7904056544486764,1.0987122895214436,19.100000000000485
3820,2.352393466943676,1.0253948396232424,0.17370401914417893,1.05,0.7904022962955365,1.098716957579902,19.105000000000484
3821,2.352389192509084,1.0255408184880044,0.1735623147140087,1.05,0.7903989392614691,1.0987216241224211,19.110000000000483
3822,2.3523849194993414,1.025686750035672,0.17342065617608332,1.05,0.7903955833464429,1.0987262891490048,19.11500000000048
3823,2.3523806479144094,1.0258326342662643,0.17327904353042264,1.05,0.7903922285504272,1.098730952659657,19.12000000000048
3824,2.352376377754249,1.025978471179801,0.17313747677704655,1.05,0.7903888748733909,1.0987356146543816,19.12500000000048
